time	I(R1)	I(R12)
9.344108493177471e-03	-8.367251e-05	2.027391e-03
9.357978241062308e-03	-7.852010e-05	1.981496e-03
9.373545317479972e-03	-7.203506e-05	1.921642e-03
9.388454150794470e-03	-6.518340e-05	1.856367e-03
9.418271817423466e-03	-4.984690e-05	1.705373e-03
9.477907150681459e-03	-1.460451e-05	1.341077e-03
9.542966379180789e-03	2.587560e-05	8.968505e-04
9.609440987736428e-03	6.268548e-05	4.663136e-04
9.684114111168013e-03	9.082538e-05	1.021880e-04
9.739339123279709e-03	9.912650e-05	-4.300670e-05
9.761032541614888e-03	9.914685e-05	-6.429884e-05
9.782958941725596e-03	9.728623e-05	-6.423976e-05
9.818519956806051e-03	9.035308e-05	-1.933388e-05
9.875254623493385e-03	7.015282e-05	1.588274e-04
9.961078337308931e-03	2.383402e-05	6.273111e-04
1.000000000000000e-02	-3.778945e-07	8.933304e-04
